"id","cnt_airlines","cnt_entertainment","cnt_auto_rentals","cnt_vehicles","cnt_business_serv","cnt_clothing_stores","cnt_contracted_serv","cnt_direct_marketing","cnt_govt_serv","cnt_hotel","cnt_misc","cnt_personal_serv_prov","cnt_repair_serv","cnt_retail_stores","cnt_service_prov","cnt_transport","cnt_utilities","cnt_wholesale_distributor","tot_tran_cnt","amt_airlines","amt_entertainment","amt_auto_rentals","amt_vehicles","amt_business_serv","amt_clothing_stores","amt_contracted_serv","amt_direct_marketing","amt_govt_serv","amt_hotel","amt_misc","amt_personal_serv_prov","amt_repair_serv","amt_retail_stores","amt_service_prov","amt_transport","amt_utilities","amt_wholesale_distributor","tot_tran_amt","payment"
1,1,1,1,1,1,1,2,3,1,1,4,1,1,3,2,1,1,3,29,1751,678,853,766,241,1641,44,241,1072,2779,4573,1576,110,2713,766,1029,941,110,21884,21884
2,2,1,3,2,1,1,2,2,3,1,2,1,3,2,2,1,3,1,33,42,16,21,19,6,40,1,6,26,67,110,38,3,65,19,25,23,3,530,530
3,1,3,1,3,3,3,3,1,3,1,1,1,1,1,3,1,3,2,35,730,283,356,319,100,684,18,100,447,1159,1907,657,46,1131,319,429,392,46,9123,9123
5,1,1,1,1,2,1,3,1,1,1,4,1,1,4,3,1,1,3,31,3945,1529,1923,1726,543,3699,99,543,2417,6263,10307,3551,247,6115,1726,2318,2121,247,49319,2465.95
6,1,1,3,1,3,1,3,2,1,1,4,1,1,4,2,1,1,3,34,346,134,169,151,48,324,9,48,212,549,904,311,22,536,151,203,186,22,4325,4325
8,1,1,2,1,3,2,0,3,1,1,5,1,3,4,2,1,1,3,35,12,5,6,5,2,11,0,2,7,19,31,11,1,19,5,7,6,1,150,75
9,1,3,3,1,1,1,2,2,2,1,3,1,1,2,3,1,1,3,32,5609,2174,2735,2454,771,5259,140,771,3436,8905,14654,5048,351,8695,2454,3296,3015,351,70118,70118
11,2,1,2,1,3,2,3,1,1,1,6,1,3,5,1,1,1,3,38,69,27,34,30,10,65,2,10,42,109,180,62,4,107,30,41,37,4,863,863
12,3,2,2,3,3,3,3,2,2,2,1,2,1,1,3,1,2,1,37,27,10,13,12,4,25,1,4,16,42,70,24,2,41,12,16,14,2,335,335
16,1,1,2,3,1,1,1,1,2,2,2,3,1,2,1,2,3,1,30,34,13,17,15,5,32,1,5,21,54,88,30,2,52,15,20,18,2,424,424
18,1,1,2,2,1,1,2,2,2,1,2,3,3,2,2,1,3,3,34,130,50,63,57,18,122,3,18,80,206,339,117,8,201,57,76,70,8,1623,1623
20,1,1,2,1,1,1,3,2,1,1,4,1,1,4,3,1,1,3,32,173,67,84,76,24,162,4,24,106,274,451,155,11,268,76,102,93,11,2161,2161
21,1,1,1,3,2,1,2,1,2,2,1,1,1,1,1,2,3,3,29,1128,437,550,494,155,1057,28,155,691,1791,2947,1015,71,1748,494,663,606,71,14101,14101
22,3,1,2,1,2,2,3,3,1,1,5,1,1,4,3,1,1,3,38,592,230,289,259,82,555,15,82,363,940,1548,533,37,918,259,348,318,37,7405,7405
23,3,1,1,3,1,1,2,2,1,1,3,1,2,2,3,1,2,1,31,28,11,14,12,4,27,1,4,17,45,74,25,2,44,12,17,15,2,354,177
24,3,1,3,1,1,1,1,3,1,1,4,1,1,4,2,1,1,2,32,44,17,21,19,6,41,1,6,27,69,114,39,3,67,19,26,23,3,545,545
25,1,1,2,1,1,1,2,3,1,1,4,1,2,4,3,1,1,1,31,52,20,26,23,7,49,1,7,32,83,137,47,3,81,23,31,28,3,653,326.5
26,1,1,1,1,2,1,3,1,1,1,3,1,3,3,1,1,1,1,27,50,19,24,22,7,47,1,7,31,79,130,45,3,77,22,29,27,3,623,31.15
27,1,1,1,1,2,1,1,2,1,1,3,1,2,3,2,1,1,2,27,111,43,54,48,15,104,3,15,68,176,289,100,7,172,48,65,60,7,1385,346.25
28,1,1,3,1,2,1,3,1,1,1,4,1,3,4,2,1,1,1,32,2785,1079,1358,1218,383,2611,70,383,1706,4421,7275,2506,174,4316,1218,1636,1497,174,34810,34810
29,3,1,2,1,3,1,1,2,1,1,4,1,3,3,3,1,1,1,33,68,26,33,30,9,64,2,9,42,108,177,61,4,105,30,40,36,4,848,212
30,1,1,3,1,2,1,1,1,1,1,3,1,3,3,2,1,1,2,29,2080,806,1014,910,286,1950,52,286,1274,3301,5433,1872,130,3223,910,1222,1118,130,25997,25997
31,1,1,2,1,3,2,1,1,1,1,6,1,2,5,2,1,1,1,33,3105,1203,1514,1358,427,2910,78,427,1902,4928,8110,2794,194,4812,1358,1824,1669,194,38807,19403.5
32,3,1,2,1,3,1,2,1,1,1,4,1,1,3,2,1,1,1,30,598,232,292,262,82,561,15,82,367,950,1563,539,37,928,262,352,322,37,7481,7481
33,2,1,1,1,1,1,2,2,1,1,3,1,1,3,2,1,1,3,28,338,131,165,148,47,317,9,47,207,536,882,304,21,524,148,199,182,21,4226,2113
34,1,1,1,1,1,1,0,2,1,1,4,1,2,4,2,1,1,3,28,12,5,6,6,2,12,0,2,8,20,32,11,1,19,6,7,7,1,157,7.85
36,1,1,3,1,3,2,1,1,1,1,5,1,1,5,3,1,1,3,35,21,8,10,9,3,20,1,3,13,33,54,19,1,32,9,12,11,1,260,260
38,2,1,3,2,3,1,3,2,1,1,2,3,2,2,2,1,3,2,36,49,19,24,22,7,46,1,7,30,78,129,44,3,76,22,29,27,3,616,154
39,1,1,2,1,3,1,3,3,1,1,4,1,3,4,2,1,1,3,36,61,24,30,27,8,57,2,8,37,97,159,55,4,95,27,36,33,4,764,382
40,1,1,1,1,2,1,1,3,1,1,4,1,2,4,1,1,1,3,30,1415,548,690,619,195,1327,35,195,867,2246,3697,1274,89,2193,619,831,761,89,17690,17690
41,3,2,2,3,1,1,1,2,1,1,3,1,3,2,3,1,1,1,32,1287,499,628,563,177,1207,32,177,789,2044,3363,1159,81,1995,563,756,692,81,16093,16093
42,2,1,1,1,1,1,2,3,1,1,3,1,3,3,3,1,1,3,32,78,30,38,34,11,73,2,11,48,124,204,70,5,121,34,46,42,5,976,976
43,3,1,3,1,2,1,2,2,3,1,3,1,1,2,1,1,2,3,33,2095,812,1022,917,288,1964,52,288,1283,3326,5474,1886,131,3248,917,1231,1126,131,26191,26191
44,3,1,1,1,3,1,2,2,1,1,4,1,2,3,2,1,1,3,33,132,51,64,58,18,124,3,18,81,209,345,119,8,205,58,78,71,8,1650,825
45,3,1,3,1,2,1,1,1,1,1,4,1,2,3,1,1,1,1,29,98,38,48,43,14,92,3,14,60,156,257,88,6,152,43,58,53,6,1229,614.5
46,3,1,2,2,3,1,2,2,1,1,3,1,2,3,2,1,1,3,34,81,31,39,35,11,76,2,11,50,128,211,73,5,125,35,47,43,5,1008,504
47,2,3,1,2,3,1,2,1,1,3,2,3,3,2,2,2,1,1,35,3888,1507,1895,1701,535,3645,97,535,2381,6172,10157,3499,243,6026,1701,2284,2090,243,48599,7289.85
48,2,3,3,1,1,1,2,3,1,1,3,1,2,2,1,1,1,2,31,17,6,8,7,2,16,1,2,10,26,43,15,1,26,7,10,9,1,207,207
49,1,2,1,3,3,1,2,3,2,1,1,3,2,1,3,1,1,3,34,6265,2428,3054,2741,862,5874,157,862,3838,9946,16368,5639,392,9711,2741,3681,3368,392,78319,78319
50,1,1,1,1,1,1,3,1,1,1,4,1,2,3,2,1,1,1,27,8140,3154,3968,3561,1119,7631,204,1119,4986,12922,21265,7326,509,12617,3561,4782,4375,509,101748,101748
51,2,3,3,1,1,1,1,2,1,1,2,3,2,2,3,1,2,2,33,2248,871,1096,984,309,2108,56,309,1377,3569,5874,2024,141,3485,984,1321,1209,141,28106,4215.9
53,2,3,2,2,3,1,1,1,1,1,2,1,3,2,3,1,2,2,33,1473,571,718,644,203,1381,37,203,902,2338,3848,1326,92,2283,644,865,792,92,18412,18412
54,1,3,1,3,3,1,2,2,1,1,3,1,2,2,3,1,1,2,33,107,42,52,47,15,100,3,15,66,170,280,96,7,166,47,63,58,7,1341,1341
55,1,1,3,1,1,1,0,1,1,3,2,1,2,2,3,1,3,2,29,11,4,5,5,2,10,0,2,7,17,29,10,1,17,5,7,6,1,139,20.85
56,2,1,2,1,2,2,1,1,1,1,6,1,3,5,2,1,1,1,34,84,33,41,37,12,79,2,12,52,134,220,76,5,130,37,50,45,5,1054,527
57,2,2,1,2,2,1,1,2,2,1,1,2,3,1,1,1,2,2,29,916,355,446,401,126,858,23,126,561,1453,2392,824,57,1419,401,538,492,57,11445,5722.5
58,3,1,1,1,2,1,3,1,1,1,4,1,1,4,2,1,1,1,30,533,206,260,233,73,499,13,73,326,846,1392,479,33,826,233,313,286,33,6657,6657
59,2,1,2,1,3,1,2,1,1,1,3,1,3,2,2,1,1,3,31,49,19,24,22,7,46,1,7,30,78,129,44,3,76,22,29,27,3,616,308
60,1,2,3,1,2,1,2,1,1,1,2,3,1,2,3,1,3,1,31,31,12,15,14,4,29,1,4,19,49,81,28,2,48,14,18,17,2,388,194
61,2,3,1,2,1,1,3,1,2,1,2,1,2,2,2,3,2,2,33,17,7,8,7,2,16,1,2,10,27,44,15,1,26,7,10,9,1,210,105
63,1,1,1,1,3,1,3,3,1,1,4,1,3,4,1,1,1,3,34,3851,1492,1877,1685,530,3610,96,530,2359,6114,10061,3466,241,5969,1685,2263,2070,241,48140,24070
64,3,2,3,1,2,1,2,3,3,1,2,2,1,2,2,3,1,1,35,716,278,349,313,99,671,18,99,439,1137,1871,645,45,1110,313,421,385,45,8954,4477
66,2,1,2,1,2,1,1,3,1,1,3,1,2,3,3,1,1,3,32,119,46,58,52,16,112,3,16,73,189,311,107,8,184,52,70,64,8,1488,1488
67,3,1,1,3,3,1,2,2,2,1,2,2,3,2,1,1,2,3,35,858,332,418,375,118,804,22,118,525,1362,2241,772,54,1329,375,504,461,54,10722,5361
68,1,1,3,2,1,1,2,1,2,1,3,1,3,2,1,1,2,2,30,387,150,189,169,53,363,10,53,237,614,1011,348,24,600,169,227,208,24,4836,4836
69,1,1,1,1,1,1,1,1,1,1,4,1,3,3,2,1,1,2,27,343,133,167,150,47,321,9,47,210,544,895,308,22,531,150,201,184,22,4284,4284
71,3,3,1,1,1,1,3,2,1,1,3,1,2,2,1,1,1,3,31,35,13,17,15,5,32,1,5,21,55,90,31,2,54,15,20,19,2,432,432
72,2,1,2,2,2,1,2,3,1,1,3,1,2,3,1,1,1,3,32,3770,1461,1838,1649,518,3534,94,518,2309,5985,9849,3393,236,5843,1649,2215,2026,236,47123,47123
74,1,1,1,1,2,1,1,3,1,1,3,1,2,3,3,1,1,2,29,1568,608,764,686,216,1470,39,216,960,2489,4096,1411,98,2430,686,921,843,98,19599,9799.5
75,2,1,1,1,3,1,1,1,1,1,4,1,2,3,1,1,1,2,28,2128,825,1037,931,293,1995,53,293,1303,3378,5558,1915,133,3298,931,1250,1144,133,26598,26598
76,3,2,3,3,1,1,3,2,1,1,3,1,1,2,3,1,3,3,37,278,108,135,121,38,260,7,38,170,441,725,250,17,430,121,163,149,17,3468,3468
78,3,1,3,3,1,1,1,3,1,1,3,1,1,2,3,1,1,2,32,31,12,15,14,4,29,1,4,19,49,81,28,2,48,14,18,17,2,388,194
79,3,3,2,3,2,1,0,2,1,1,3,1,1,2,3,1,1,1,31,9,3,4,4,1,8,0,1,5,14,23,8,1,13,4,5,5,1,109,54.5
80,3,1,2,1,3,1,3,3,3,1,3,1,1,2,3,1,3,1,36,67,26,33,29,9,63,2,9,41,106,174,60,4,104,29,39,36,4,835,125.25
82,3,1,1,1,2,1,2,3,2,1,3,1,3,2,2,1,1,1,31,65,25,32,29,9,61,2,9,40,103,170,59,4,101,29,38,35,4,815,815
83,3,1,2,2,3,1,2,3,1,1,3,1,1,2,1,1,1,2,31,32,12,16,14,4,30,1,4,20,51,83,29,2,50,14,19,17,2,400,400
