id,cnt_airlines,cnt_entertainment,cnt_auto_rentals,cnt_vehicles,cnt_business_serv,cnt_clothing_stores,cnt_contracted_serv,cnt_direct_marketing,cnt_govt_serv,cnt_hotel,cnt_misc,cnt_personal_serv_prov,cnt_repair_serv,cnt_retail_stores,cnt_service_prov,cnt_transport,cnt_utilities,cnt_wholesale_distributor,tot_tran_cnt,amt_airlines,amt_entertainment,amt_auto_rentals,amt_vehicles,amt_business_serv,amt_clothing_stores,amt_contracted_serv,amt_direct_marketing,amt_govt_serv,amt_hotel,amt_misc,amt_personal_serv_prov,amt_repair_serv,amt_retail_stores,amt_service_prov,amt_transport,amt_utilities,amt_wholesale_distributor,tot_tran_amt,payment
1,0,1,0,1,0,1,0,0,1,1,4,1,0,3,0,1,1,0,15,1579,612,770,691,217,1481,40,217,967,2507,4126,1421,99,2448,691,928,849,99,19742,9871
2,0,1,0,1,0,1,0,0,1,1,3,1,0,3,0,1,1,0,14,5873,2276,2863,2570,808,5506,147,808,3597,9324,15343,5286,367,9103,2570,3451,3157,367,73416,73416
4,0,1,0,1,0,2,0,0,1,1,5,1,0,4,0,1,1,0,18,1945,754,948,851,268,1823,49,268,1191,3087,5081,1750,122,3015,851,1143,1045,122,24313,12156.5
5,0,1,0,1,0,2,0,1,1,1,6,1,0,5,0,1,1,0,21,766,297,373,335,105,718,19,105,469,1216,2000,689,48,1187,335,450,412,48,9572,4786
6,0,1,0,1,0,2,0,0,1,1,5,1,0,4,0,1,1,0,18,28,11,14,12,4,26,1,4,17,44,73,25,2,43,12,16,15,2,349,349
7,0,1,0,1,0,2,0,1,1,1,6,1,0,5,0,1,1,0,21,10,4,5,5,1,10,0,1,6,16,26,9,1,16,5,6,6,1,128,128
10,0,1,0,1,0,1,0,0,1,1,4,1,0,4,0,1,1,0,16,372,144,181,163,51,349,9,51,228,591,972,335,23,577,163,219,200,23,4651,4651
11,0,0,0,0,0,1,0,0,0,1,3,1,0,2,0,1,0,0,9,1785,692,870,781,245,1673,45,245,1093,2833,4663,1606,112,2766,781,1049,959,112,22310,11155
12,0,0,0,0,0,1,0,0,1,1,3,1,0,2,0,1,1,0,11,156,61,76,68,22,147,4,22,96,248,408,141,10,242,68,92,84,10,1955,1955
13,0,1,0,1,0,1,0,0,1,1,3,1,0,3,0,1,1,0,14,194,75,95,85,27,182,5,27,119,308,506,174,12,300,85,114,104,12,2424,2424
